"metric","topn","val","method","spl"
"acc",1,0.982909860859044,"linear",1
"binacc",1,0.982909860859044,"linear",1
"eacc",1,0.0170901391409558,"linear",1
"ebinacc",1,0.0170901391409558,"linear",1
"nll",1,0.0721070279678244,"linear",1
"binnll",1,0.0721070279678244,"linear",1
"rps",1,0.0158784295868658,"linear",1
"cint",1,-0.189241696020776,"linear",1
"cslope",1,0.996512608170015,"linear",1
"brier",1,0.0158784295868658,"linear",1
"auc",1,0.826666208791209,"linear",1
"eauc",1,0.173333791208791,"linear",1
"qwk",1,-0.000299893430727227,"linear",1
"eqwk",1,1.00029989343073,"linear",1
"acc",2,0.983061101028433,"linear",1
"binacc",2,0.983061101028433,"linear",1
"eacc",2,0.0169388989715669,"linear",1
"ebinacc",2,0.0169388989715669,"linear",1
"nll",2,0.0732552150790147,"linear",1
"binnll",2,0.0732552150790147,"linear",1
"rps",2,0.0158588114474757,"linear",1
"cint",2,-0.219507749777097,"linear",1
"cslope",2,1.19527672944877,"linear",1
"brier",2,0.0158588114474757,"linear",1
"auc",2,0.813228021978022,"linear",1
"eauc",2,0.186771978021978,"linear",1
"qwk",2,0,"linear",1
"eqwk",2,1,"linear",1
"acc",3,0.983061101028433,"linear",1
"binacc",3,0.983061101028433,"linear",1
"eacc",3,0.0169388989715669,"linear",1
"ebinacc",3,0.0169388989715669,"linear",1
"nll",3,0.0733234580320987,"linear",1
"binnll",3,0.0733234580320987,"linear",1
"rps",3,0.0158715817933869,"linear",1
"cint",3,-0.20398420877506,"linear",1
"cslope",3,1.26527193061875,"linear",1
"brier",3,0.0158715817933869,"linear",1
"auc",3,0.816221153846154,"linear",1
"eauc",3,0.183778846153846,"linear",1
"qwk",3,0,"linear",1
"eqwk",3,1,"linear",1
"acc",4,0.983061101028433,"linear",1
"binacc",4,0.983061101028433,"linear",1
"eacc",4,0.0169388989715669,"linear",1
"ebinacc",4,0.0169388989715669,"linear",1
"nll",4,0.0738738470481482,"linear",1
"binnll",4,0.0738738470481482,"linear",1
"rps",4,0.0158930266716865,"linear",1
"cint",4,-0.236656952370948,"linear",1
"cslope",4,1.28714289054825,"linear",1
"brier",4,0.0158930266716865,"linear",1
"auc",4,0.812181318681319,"linear",1
"eauc",4,0.187818681318681,"linear",1
"qwk",4,0,"linear",1
"eqwk",4,1,"linear",1
"acc",5,0.983061101028433,"linear",1
"binacc",5,0.983061101028433,"linear",1
"eacc",5,0.0169388989715669,"linear",1
"ebinacc",5,0.0169388989715669,"linear",1
"nll",5,0.0740750159103114,"linear",1
"binnll",5,0.0740750159103114,"linear",1
"rps",5,0.0159083296171176,"linear",1
"cint",5,-0.238813924425961,"linear",1
"cslope",5,1.29134601339655,"linear",1
"brier",5,0.0159083296171176,"linear",1
"auc",5,0.810081043956044,"linear",1
"eauc",5,0.189918956043956,"linear",1
"qwk",5,0,"linear",1
"eqwk",5,1,"linear",1
"acc",1,0.982909860859044,"log-linear",1
"binacc",1,0.982909860859044,"log-linear",1
"eacc",1,0.0170901391409558,"log-linear",1
"ebinacc",1,0.0170901391409558,"log-linear",1
"nll",1,0.0721070279678244,"log-linear",1
"binnll",1,0.0721070279678244,"log-linear",1
"rps",1,0.0158784295868658,"log-linear",1
"cint",1,-0.189241696020776,"log-linear",1
"cslope",1,0.996512608170015,"log-linear",1
"brier",1,0.0158784295868658,"log-linear",1
"auc",1,0.826666208791209,"log-linear",1
"eauc",1,0.173333791208791,"log-linear",1
"qwk",1,-0.000299893430727227,"log-linear",1
"eqwk",1,1.00029989343073,"log-linear",1
"acc",2,0.983061101028433,"log-linear",1
"binacc",2,0.983061101028433,"log-linear",1
"eacc",2,0.0169388989715669,"log-linear",1
"ebinacc",2,0.0169388989715669,"log-linear",1
"nll",2,0.0732671545790205,"log-linear",1
"binnll",2,0.0732671545790205,"log-linear",1
"rps",2,0.0158629641540953,"log-linear",1
"cint",2,-0.22270571863179,"log-linear",1
"cslope",2,1.19019736662738,"log-linear",1
"brier",2,0.0158629641540953,"log-linear",1
"auc",2,0.813181318681319,"log-linear",1
"eauc",2,0.186818681318681,"log-linear",1
"qwk",2,0,"log-linear",1
"eqwk",2,1,"log-linear",1
"acc",3,0.983061101028433,"log-linear",1
"binacc",3,0.983061101028433,"log-linear",1
"eacc",3,0.0169388989715669,"log-linear",1
